Title,Price,Type,Description
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2015 Blue,"_ 22,000,000",Foreign Used,"Mistakenly registered, 100% tokunbo, reverse camera, everything is working perfectly"
Toyota Hilux 2019 White,"_ 48,000,000",Foreign Used,"Fresh tokunbo manual hilux with good paid customs duty, accident free car."
GMC Acadia 2023 Gold,"_ 64,500,000",Foreign Used,Brand New GMC Acadia 2023. Original duty. Luxury or nothing. Everything
Toyota Camry 2001 Gold,"_ 2,200,000",Local Used,"Everything including engine, gear and ac is very okay... ibadan is the location"
New Honda Pilot 2023 Blue,"_ 125,100,000",Brand New,*BRAND NEW HONDA PILOT 2023 with fullest option
Lexus GX 460 Luxury 2014 Black,"_ 39,800,000",Foreign Used,Spotless accident free no issues tincan cleared extreamly sharp keyless fuloption
Lexus RX 300 4WD 2004 Silver,"_ 8,500,000",Foreign Used,"Foreign Used Lexus RX-300, 2004 model, accident free, full option, reverse camera, DVD player,..."
Kia Sorento 2013 Silver,"_ 13,500,000",Foreign Used,"2013 kia sorrento, limited edition. Fullest option. Thumbstart, panoramic roof, reverse camera with..."
Toyota Corolla 1.4 2004 Gray,"_ 4,200,000",Local Used,"It’s in good condition buy and drive 
Engine is okay 
Gear is okay 
AC is cold"
Audi Q7 3.6 FSI 2007 Silver,"_ 9,500,000",Foreign Used,"Volkswagen Audi Q7 2007 model V6 Engine 3,2 fsi"
Toyota Camry 2002 White,"_ 2,300,000",Local Used,"Very neat camry 2001 used clean at a good deal, no issues ac, gear, engine all intact"
Toyota Highlander Limited V6 2005 Silver,"_ 4,850,000",Local Used,"Quick deal 
Toyota Highlander 205 used 
Engine and gearbox 
A/C
Buy and drive"
Toyota Sienna XLE FWD 8-Passenger 2013 Gray,"_ 14,500,000",Foreign Used,"Reverse camera
Navigation
Fabric seat. 
Bluetooth
Tin can cleared
Buy and drive
Power doors
Full..."
Ford Escape 2004 Black,"_ 2,250,000",Local Used,"Ford Escape 2004 model. 
Air conditioning. 
Alloy wheels. 
Automatic transmission. 
Leather seats...."
Acura TL 2009 Black,"_ 7,980,000",Foreign Used,
Lexus ES 2014 Gray,"_ 23,500,000",Foreign Used,204 Lexus Es350 gray on gray
Mercedes-Benz GLE-Class 2020 Black,"_ 70,300,000",Local Used,Registered mercedes benz gle350 4matic 2020 model with 360-degree camera panoramic-roof
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Silver,"_ 73,000,000",Foreign Used,"2017 GLE 43 AMG MERCEDES BENZ Comes with panoramic roof,factory fitted reverse camera,thumb..."
Honda Pilot 2021 White,"_ 46,500,000",Foreign Used,Extremely Clean 2021 Honda Pilot with Reverse Camera 100% Accident Free
Lexus GX 460 Luxury 2014 Silver,"_ 33,500,000",Foreign Used,Extremely Clean beautiful Direct Belgium accident free Gx460
Toyota RAV4 2.5 Limited 4x4 2011 Silver,"_ 12,650,000",Foreign Used,"Clean four plugs (4plugs) with beautiful interior.
accident free
Chilling Ac
perfect engine and..."
Honda Accord 2010 Silver,"_ 4,650,000",Local Used,Neatly used 010 honda pilot with good functioning engine and gear transmission. Factory fitted Ac....
Toyota Corolla 2014 Red,"_ 17,500,000",Foreign Used,"New arrival Clean foreign used Toyota Corolla Sport, 2014 model with cd/mp3/dvd, no dent, air..."
Ford Edge 2008 Gray,"_ 4,580,000",Local Used,"Notting to fix ac chills perfectly ok. Everything working very well. Diz car is barely uesd the 
As..."
Acura MDX 2016 Red,"_ 18,000,000",Foreign Used,2016 wine on cream interior foreign used car with fully duty tin can cleared buy and drive nothing...
Mazda 323 2004 Red,"_ 4,650,000",Foreign Used,"Engine Specification
Power : 62 kW
Horsepower : 84 hp (83 bhp)
Rev. at Max Power : 5,200 rpm
Torque..."
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Blue,"_ 46,500,000",Foreign Used,GLE 2016 AUto censor 360 Degree camera DVD Reverse camera with navigation system full option bumper...
Acura MDX 2012 White,"_ 11,700,000",Foreign Used,"Neat 2012 Acura MDX with full option and power booth,reverse camera,factory navigation,first body..."
Mercedes-Benz CLA-Class 2015 Brown,"_ 25,000,000",Foreign Used,"Top Tier Deal  
Brand: Mercedes Benz 
Model: CLA 250 (full option)
Year: 2015
Price: 25m
Condition:..."
Ford Edge 2008 Silver,"_ 5,500,000",Local Used,"Extremely clean used ford edge 011 in pristine condition, engine and gear untouched a/c chilling...."
Toyota Camry 2013 Black,"_ 14,600,000",Local Used,Squeaky Clean. Genuine Duty Papers Available. All Body parts are in excellent condition. AC feels...
Mercedes-Benz GLK-Class 350 4MATIC 2013 Black,"_ 22,000,000",Foreign Used,2013 black on black Mercedes benz GLK panoramic roof foreign used car with fully duty paid tin can...
Land Rover Range Rover Evoque 2015 White,"_ 13,800,000",Local Used,"Very clean and amazing car with spotless interior and exterior. Engine not touched,gear selects well..."
Acura MDX 2012 Black,"_ 11,850,000",Foreign Used,Accident free factory navigation system with revase camera everything working perfect
Toyota Camry 2004 Silver,"_ 4,500,000",Local Used,Nothing to fix buy and drive serious buyer should contact or massages this number on...
Bentley Bentayga Black Edition AWD 2018 Black,"_ 150,000,000",Foreign Used,Leather seat alloy wheels factory ac automatic transmission airbag c Dec changer fully loaded call...
Lexus GX 460 Luxury 2015 Black,"_ 47,900,000",Foreign Used,"Super Clean and Very Sharp GX
Everything is intact with Custom Duty fully paid and Accident Free...."
Toyota Highlander Limited 2021 Black,"_ 75,000,000",Foreign Used,2021 black on black Toyota highlander foreign used car with fully duty paid tin can cleared buy and...
Mercedes-Benz M Class 2015 Gray,"_ 27,000,000",Foreign Used,"Direct Tokunbo 2015 Mercedes Benz ML350 
First body 
Wooden finishing 
Thumbstart 
Low mileage 
Duty..."
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Black,"_ 36,500,000",Foreign Used,Extremely Clean Foreign Used Mercedes-Benz GLE350 4matic is available for immediate inspection and...
New Toyota Hilux 2023 Gray,"_ 86,000,000",Brand New,Brand New 2023 Toyota Hilux Adventure V6 available for sale. Comes with full option features and...
Kia Mohave 2010 Gray,"_ 6,850,000",Local Used,"A very clean Kia Mohave, with a clean engine and gear and a first body pan, with thumb start and a..."
Lexus RX 350 2008 Silver,"_ 8,900,000",Local Used,A clean registered full option 2009 Rx350 lexus for sell with Everything intact and absolute nothing...
Mercedes-Benz GL-Class 2012 Black,"_ 19,500,000",Local Used,"*hot lagos deal*
*toks grade 2012 benz gl450 available in isolo lagos now"
Lexus ES 350 2008 Silver,"_ 9,150,000",Local Used,"2008 registered Lexus Es350, with Panoramic roof 
Toks std.
9.150m"
Lexus LX 570 2011 Black,"_ 80,000,000",Foreign Used,This is available now... luxury or nothing
BMW X6 xDrive40i 2022 Black,"_ 200,000,000",Foreign Used,Leather seat alloy wheels factory ac automatic transmission airbag navigation system reverse camera...
Toyota Sienna Limited 7 Passenger 2012 White,"_ 13,800,000",Local Used,"Neatly used 2012 sienna- Belgium standard, limited edition, keyless, power door, extremely clean"
Toyota Highlander Limited 3.5l 4WD 2013 White,"_ 16,500,000",Foreign Used,New duty paid accident free everything is working perfect
Lexus RX 350 FWD 2014 Black,"_ 21,500,000",Local Used,"Lexus Rx350 2014 model, black color, very clean, leather seats, display screen, revise camera, aux,..."
Mercedes-Benz GLA 250 2017 White,"_ 27,000,000",Foreign Used,"2017 Model Mercedes-Benz Gla 4matic White Color with cd/mp3/dvd, no dent, accident free, lagos..."
Toyota RAV4 2014 Blue,"_ 17,500,000",Foreign Used,Foreign used Toyota Rav4 blue 2014 tokunbo Lagos tincan cleared engine very sound everything working...
Lexus RX 2013 White,"_ 26,000,000",Foreign Used,"Excessively clean foreign used 2013 LEXUS RX 350, fullest option with fully paid customs duty. Pls..."
Toyota Highlander Limited 3.5L 2WD 2013 Silver,"_ 17,900,000",Foreign Used,"Perfect condition... 
Low mileage... 
Beautiful interior... 
Keyless... 
Accident free... 
Nothing..."
Toyota Avalon 2014 Green,"_ 20,000,000",Foreign Used,Very clean and is keyless and full opinion
Toyota Highlander 2015 Burgundy,"_ 30,000,000",Foreign Used,Foreign used 2015 Highlander. Fullest option
Toyota Camry 2009 Gold,"_ 6,700,000",Local Used,Registered Toyota Camry 2009 model | V4 engine | Remote entry | Bluetooth | navigation system |...
Toyota Camry 2014 Silver,"_ 16,000,000",Foreign Used,"Very good condition no fault, full option, smart key open roof back camera original low mileage"
Mercedes-Benz GLA 250 2016 White,"_ 31,500,000",Foreign Used,Fullest option with panoramic roof and thumbstart... Accident free... Beautiful milk interior......
Lexus RX 350 2011 Silver,"_ 25,000,000",Foreign Used,"Foreign used Lexus RX350 2011model with custom duty, fullest option with keyless entry push to..."
Lexus GS 350 AWD 2008 Blue,"_ 14,625,000",Local Used,
Toyota Camry 2015 Black,"_ 14,000,000",Local Used,"2015 Toyota Camry le , car sweet with some sauce"
Lexus ES 330 2006 Silver,"_ 6,750,000",Local Used,Es330 2006 model bearly used tokunbo standard buy and travel nothing to fix all components are...
Toyota Camry 2009 Red,"_ 9,250,000",Foreign Used,"Tincan clearing,duty paid, navigation system, reverse camera, Bluetooth,alloy wheel, accident free,..."
Toyota Camry 2007 Gray,"_ 6,240,000",Loan,
Lexus RX 350 AWD 2018 Red,"_ 60,500,000",Foreign Used,"Super clean accident free 2018 RX 350 tokunbo with just 16k milleage with thumbs start, reverse..."
Volkswagen Jetta 2001 Silver,"_ 3,550,000",Foreign Used,"Clean car with beautiful interior, chilling AC, perfect engine and gear. Full duty paid"
Land Rover Range Rover Velar 2018 Gray,"_ 65,000,000",Foreign Used,"A very good Deal! 
Foreign used
2018 Range Rover Velar
 last! 
Location isolo Lagos"
Mercedes-Benz B-Class 2010 Gray,"_ 6,000,000",Local Used,"Carefully used Mercedes Benz B200 2010 model in super condition, everything is working perfectly,..."
Honda Civic 2007 Black,"_ 4,000,000",Local Used,"Unregistered Belgium standard 
2007 Honda civic with absolutely nothing to fix on going for 4m..."
Mercedes-Benz E350 2014 Black,"_ 17,500,000",Foreign Used,"Keyless entry, custom duty fully paid,comes with reverse camera, everything in perfect condition"
Toyota 4-Runner Limited 2008 Black,"_ 13,500,000",Foreign Used,"Tincan clearing,duty paid, navigation system, reverse camera,alloy wheel, leather seat, accident..."
Honda CR-V 2.4 LX 4x4 Automatic 2008 Silver,"_ 8,500,000",Foreign Used,Honda Crv 2006... Compact SUV at its very peak. This is the best suv for the moment. Call us today...
Mazda CX-9 Sport 2013 Blue,"_ 11,500,000",Foreign Used,"Foreign used Mazda CX-9 2013 model blue color blue color, full option with factory navigation system..."
Toyota Camry 2008 Red,"_ 8,500,000",Foreign Used,Toyota Camry LE 2008 with total accident free
Lexus LX 470 Sport Utility 2006 White,"_ 16,500,000",Foreign Used,Accident free with new duty paid everything is working perfect factory navigation system with DVD...
Toyota Corolla 2020 Silver,"_ 22,900,000",Foreign Used,New Entry Foreign Used Toyota Corolla 2020 With Duty Available for just 22.9M
Pontiac Vibe 2007 Gray,"_ 7,800,000",Foreign Used,"This is 2007 Pontiac vibe gray color 
Automatic transmission 
Amazing fabric seats,
In a perfect..."
Mercedes-Benz G-Class G 63 AMG 4MATIC 2016 Black,"_ 72,000,000",Local Used,2016 Few Months used G63 Well maintained working perfectly nothing to fix Available DM me if you're...
New Kia Rio LX 2023 Gray,"_ 21,000,000",Brand New,"2023 Kia Rio 
Brand New
ORIGINAL CUSTOMS
 4 Plugs Engine  Gear  A/c   
Price:- 21M"
Toyota Camry 2008 Silver,"_ 6,300,000",Local Used,"Belgium Grade
Camry Muzzle 08
First Body Accident Free
Untempered Systems & AC
Good Legs & Tyres,..."
Toyota Highlander Limited 4x4 2008 Black,"_ 8,800,000",Local Used,Very clean Toyota Highlander 2008 model. V6 4WD. Best grade
Toyota Corolla 2011 Gray,"_ 8,700,000",Local Used,"Belgium standard Toyota 011, everything is working perfectly, nothing to fix at all,buy and drive."
Lexus GS 2008 Gray,"_ 11,500,000",Foreign Used,Lexus GS 350 available with good price
Toyota Camry 2009 Black,"_ 6,525,000",Local Used,
Toyota Camry 2012 White,"_ 12,500,000",Local Used,Neatly used toyota camry se keyless 2012 available for inspection
Toyota Sienna 2008 Silver,"_ 4,650,000",Local Used,"Super sharp clean used Toyota sienna 2008 model
full option 
leather seat
ac chilling 
auto..."
Land Rover Range Rover Velar P380 HSE R-Dynamic 4x4 2018 Black,"_ 60,000,000",Local Used,RANGE ROVER VELAR 2018 P380 V6 few months used going for just 60m with original custom duty call or...
Ford Transit 2010 White,"_ 5,300,000",Foreign Used,"Tokunbo
Ford transit pickup
2010
Amuwo Odofin
Diesel engine
Manual"
Toyota Corolla 2015 Blue,"_ 14,000,000",Foreign Used,"FRESHEST ARRIVAL Toyota corolla 2015 model beast-like design with a greater performance, Android..."
Lexus RX 300 2WD 2002 Black,"_ 2,800,000",Local Used,"Perfect engine and gear, chilling ac.
For serious buyers only"
Toyota Camry 2017 Black,"_ 20,000,000",Foreign Used,Very clean Toyota Camry XSE 2017 model V6 engine keyless entry full option with blind spot low...
Toyota Corolla 2012 Black,"_ 13,000,000",Foreign Used,"Foreign used Toyota Corolla sport edition 2012 model with factory dashboard, accident free, custom..."
Lexus GX 2006 Black,"_ 12,800,000",Foreign Used,"With duty papers accident free, airbags,alloy,wheels,am/fm radio,aircondition,anti -lock..."
Mercedes-Benz C350 2006 Gray,"_ 6,550,000",Foreign Used,"Tin can cleared 
Clean leather interior 
Papers are complete 
Ac is working fine
No fault"
Toyota Venza AWD 2010 Silver,"_ 18,800,000",Foreign Used,"Amazing clean foreign used Toyota venza keyless, power boot, duty and much more"
Land Rover Range Rover HSE 2012 Black,"_ 11,000,000",Local Used,"Buy and travel with the best car you can ever think of 
Engine is 100 perfect AC is chilling gearbox..."
Lexus GX 460 Luxury 2015,"_ 52,500,000",Foreign Used,Luxurious machine at its best super clean 100% accident free buy and drive machine... full option...
BMW 328i 2013 Silver,"_ 16,000,000",Foreign Used,Bmw 328i 2013 foreign used going for 16m location abuja with original custom duty for possible...
Mercedes-Benz C300 2017 White,"_ 42,500,000",Foreign Used,Foreign used 2017 Mercedes Benz C300 cabriolet/ convertible available for sale.
Hyundai Sonata 2015 Black,"_ 14,900,000",Foreign Used,"Clean 2015 Hyundai Sonata, Fresh Import , Duty"
Honda Accord 2014 Gray,"_ 14,500,000",Local Used,"2014 Honda Accord 
Less than 2 months used 
Unregistered, Buy and Drive.
Location is Portharcourt..."
Toyota RAV4 3.5 Limited 4x4 2011 White,"_ 12,000,000",Foreign Used,"Foreign Used RAV4 Limited 4WD 2011 for sale. Features are Thumbstart keyless entry, V6 Engine,..."
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Red,"_ 38,000,000",Foreign Used,Toks 2016 GLE350 4Matic Accident Free With The Foreign Pictures Original Low Mileage Very Clean Just...
Chevrolet Camaro 2018 Red,"_ 33,000,000",Foreign Used,"Foreign used 2018 Chevrolet Camaro with a silent V6 engine, nothing to fix"
Mercedes-Benz E350 2013 Black,"_ 15,000,000",Local Used,"This is a super clean ride in and out.
E350 2017 upgrade. 
Nothing to fix,buy and drive,thank me..."
Toyota Corolla 2010 Black,"_ 7,000,000",Local Used,"*TOYOTA COROLLA LE*
_ _ 
_ *Model:* 2010
_ *Price: _7M
_ *Location:* Abuja  
_ *Duty:* Fully Paid
_..."
New Toyota Land Cruiser Prado 2024 Black,"_ 135,000,000",Brand New,Brand New Toyota Prado 2024 model. It's mint. Nothing to talk about. It's a brand new.
Lexus LX 2015 Black,"_ 95,000,000",Local Used,Fresh deal like fresh tomatoes jos ready to go 2015 model Lexus Lx570 BULLET PROOF jeep extremely...
Land Rover Range Rover Vogue 2014 Black,"_ 36,500,000",Foreign Used,2014 fully upgraded to 2021 Range Rovers Autobiography with red interior.
Land Rover Range Rover Velar P380 HSE R-Dynamic 4x4 2019 Gold,"_ 68,000,000",Foreign Used,T2019 range rover velar p380 hse with recent duty 2024 clean drive!!reverse camera!!collision...
Hyundai Santa Fe Limited 2.0T AWD 2020 Silver,"_ 16,500,000",Local Used,Supper clean used 2020 model with original documents
Lexus ES 330 2006 White,"_ 4,150,000",Local Used,This car is in tope shape... Engine and Gear Ok... A/C cooling... interior sharp... body no...
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 Black,"_ 170,000,000",Foreign Used,"Foreign used 2021 gle53 coupe ||/amg with genuine custom duty
abuja"
Land Rover Range Rover 2014 Black,"_ 45,000,000",Foreign Used,2014 Customised Range Autobiography070*********
Lexus RX 350 2013 Black,"_ 26,300,000",Foreign Used,"Just landed accident free 2013 Lexus RX 350 fullest option on with reverse camera.4x4,keyless..."
Mercedes-Benz M Class ML 350 4Matic 2013 White,"_ 30,000,000",Foreign Used,"Keyless entry, automatic transmission,leather seat interior, navigation system, Bluetooth..."
Toyota Tacoma 2015 White,"_ 22,500,000",Foreign Used,2015 white Toyota tacoma truck foreign used with fully duty paid tin can can cleared buy and drive...
Toyota Avalon 2014 Burgundy,"_ 22,000,000",Foreign Used,Super clean Toyota Avalon 2014| Burgundy on beige interior| Sunroof | Allow wheels| Custom duty...
Toyota Sequoia 2015 Black,"_ 33,000,000",Foreign Used,2015 black Toyota sequoia upgraded to 2021 foreign used car with fully duty paid tin can cleared buy...
Toyota Corolla CE 2006 Gray,"_ 8,500,000",Foreign Used,2006 gray toyota corolla ce foreign used with fully duty paid tin can cleared buy and drive nothing...
Volkswagen Beetle 1968 Blue,"_ 3,000,000",Local Used,"1968 vintage volkswagen bettle 15100. 
we will revive the memorises. 
it's in fantastic working..."
Toyota Camry 2013 White,"_ 12,900,000",Foreign Used,"Toks standard 
Clean in and out 
Document intact"
Toyota Land Cruiser 4.0 V6 GX-R 2014 Black,"_ 45,000,000",Local Used,2014 landcrusier available for sale at gbagada upgraded to 2023 in mint condition absolutely nothing...
Toyota RAV4 2016 Orange,"_ 17,700,000",Foreign Used,Direct Belgium RAV4 2015 Model With Original Duty
Toyota Camry SE FWD 2020 Blue,"_ 36,000,000",Foreign Used,Camry 2020 model very clean car sports edition ... with complete duty paid
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Black,"_ 48,000,000",Foreign Used,Tokubo GLE 350 4matic accident free
Toyota Matrix 2012 Red,"_ 11,500,000",Foreign Used,"Foreign used Toyota Matrix 2012 model
Accident free car
Red color on Gray interior
Cool 4plug Engine..."
Toyota Highlander 2012 Black,"_ 10,000,000",Local Used,Supa sound n neat buy and drive
Toyota Highlander Limited Platinum 2019 Black,"_ 46,000,000",Foreign Used,"Foreign used Toyota Highlander 2019 Limited Platinum, full option with 360°camera. Factory-installed..."
Kia Sorento 2019 Gray,"_ 25,000,000",Foreign Used,2019 kia sorento with duty and just 3k miles
Toyota 4-Runner Limited V6 4x4 2005 Red,"_ 11,000,000",Foreign Used,"2007 model Toyota 4Runner , red color,
Automatic transmission,
Leather seats 
Duty fully..."
New Mercedes-Benz G-Class 2024 Blue,"_ 800,000,000",Brand New,All brand new 2024 G63 AMG strictly for the billionaires only... No need for long epistle... Refer a...
Volkswagen Golf 1.6 Automatic 2003 Red,"_ 2,250,000",Local Used,"Super clean first paint on first body golf for sale, tokunbo standard 1.6 litter lowest fuel..."
Mercedes-Benz E350 2011 Gold,"_ 18,500,000",Foreign Used,Foreign Used 2011 Mercedes Benz E350 4Matic upgraded to 2014 available for purchase in a good...
Hyundai Elantra 2013 Silver,"_ 7,500,000",Local Used,"Hyundai Elantra 
2013 model
1yr used 
Untampered engine 
Freezing AC 
Smooth transmission 
 buy and..."
Mercedes-Benz S-Class S 550 2008 Black,"_ 23,500,000",Local Used,"Mercedes benz s550
2008 model
fully upgraded to maybach 
registered 
 supper clean in and out"
Toyota Camry 2.4 XLE 2008 Black,"_ 5,500,000",Local Used,This car is available and in excellent working condition is a full option car everything is working...
Mercedes-Benz M Class ML 350 4Matic 2011 Black,"_ 21,500,000",Local Used,"First body engine and gearbox untouched, everything is working, A/c is chilling, buy and drive"
Toyota Corolla 2013 Black,"_ 13,700,000",Foreign Used,2013 model Toyota Corolla sport edition accident free
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 Black,"_ 39,000,000",Foreign Used,GLE 350 4Matic Benz 2017 Model
Toyota Tundra 2017 Black,"_ 39,900,000",Foreign Used,"Toyota tundra 2017 model 
Full option 
Air conditioner 
Navigation system 
AM/FmRadio
Dvd player..."
Toyota RAV4 2012 Red,"_ 13,000,000",Foreign Used,"Clean 2012 Toyota Rav4 , very neat"
Toyota Picnic 2002 Green,"_ 2,700,000",Local Used,Clean use toyota picnic manual buy amd enjoy nothing to fix just buy and drive
Lexus IS 2024 Gray,"_ 68,500,000",Foreign Used,Lexus Is350 Direct Belgium 2024
Hyundai Sonata 2015 White,"_ 16,500,000",Foreign Used,"HYUNDAI SONATA 2015 MODEL WHITE, extremely clean interior and exterior, just buy and drive. The said..."
Chevrolet Cruze 1LT 2011 White,"_ 6,500,000",Foreign Used,"Clean accident free Foreign used, thumb start Chevrolet Cruze. Buy and use."
Hyundai Palisade Limited 2022 Gray,"_ 52,000,000",Foreign Used,"Mint Foreign Used Hyundai Palisade HTRAC 2022 Model,
Clean title,
Accident free,
Keyless..."
Toyota Corolla 1.8 LE 2008 Gold,"_ 5,500,000",Local Used,"Extremely clean and sound 2008 neatly used toyota corolla LE 
Properly documented 
With original..."
Toyota Highlander 2013 Gray,"_ 18,500,000",Foreign Used,Toyota Highlander 2013 model with affordable good price
Honda Civic 2007 Blue,"_ 4,700,000",Local Used,Nigeria use of Honda civic 2007 model Belgium standard untempared engine and gear with original...
Toyota Camry 2009 Black,"_ 6,250,000",Local Used,"One of the cleanest used camry available. Sound engine and gearbox, factory chilling Ac, clean..."
Mazda Premacy 2004 Silver,"_ 6,300,000",Foreign Used,"2004 model Mazda premacy silver on black interior 
Automatic transmission 
Fabric seats 
Duty fully..."
Ford Edge 2008 Black,"_ 3,500,000",Local Used,Neatly Used Ford Edge Limited with sound engine and gear. Buy and Drive.
Toyota Camry 2008 Red,"_ 5,800,000",Local Used,Sharp used with untampered engine and gear AC chilling nothing to fix
Toyota Corolla 2009 Gold,"_ 9,300,000",Foreign Used,Vehicle is bought from Vancouver Canada and it drives amazing. Gear work perfectly as well.
Honda Accord 2.4 EX-L Automatic 2008 Blue,"_ 7,500,000",Foreign Used,"Newly Arrived 2009 Forigen used Honda Accord with duty paid well pimped with Android screen, Reverse..."
Lexus GX 460 AWD 2022 Black,"_ 121,000,000",Foreign Used,Direct 2022 Lexus gx460 in mint condition
Mercedes-Benz M Class 2015 Black,"_ 26,500,000",Foreign Used,"Very sharp Mercedes Benz 2015 ML350 4matic... 
Black color on black interior
Push to start button,..."
Toyota Highlander Limited 2011 White,"_ 15,000,000",Foreign Used,2011 white Toyota highlander keyless foreign used with fully duty paid tin can cleared buy and drive...
Kia Ray 1.0 FWD 2020 White,"_ 12,500,000",Foreign Used,Kia Ray 2020 model automatic gear mileage very low with catalyst and custom paper
Mercedes-Benz S-Class S 500 4MATIC (W221) 2007 Black,"_ 9,450,000",Foreign Used,Foreign used mercedes benz s360. duty fully paid. buy and drive nothing to fix....
Mercedes-Benz M Class 2007 Gold,"_ 7,300,000",Local Used,"2007 first body M L 350 benz very sharp everything working perfectly well , come for inspection and..."
Toyota Corolla 2004 Gray,"_ 6,500,000",Foreign Used,"Foreign used Toyota corolla with original duty, everything intact, just buy and drive"
Toyota Camry 2007 Blue,"_ 7,900,000",Foreign Used,"In good and perfect condition Toyota Camry 2007 model,blue color,manual transmission,4..."
Toyota Highlander 2015 Silver,"_ 25,000,000",Foreign Used,Highlander limited 2015 model silver color first body accident-free reverse camera full option full...
Hyundai Accent SE 2013 Red,"_ 8,300,000",Foreign Used,"Keystart ignition, fabric seat interior, automatic transmission,super clean accident free."
Honda Ridgeline 2006 Silver,"_ 7,300,000",Local Used,"Extremely clean Honda ridgeline 
Super clean 
Good engine and gear 
Ac cooling"
Hyundai Sonata 2012 Black,"_ 9,950,000",Foreign Used,"Direct Tokunbo Hyundai Sonata 2012 For Sale. 
First body exterior & interior. 
Sound 4plug engine...."
Mercedes-Benz M Class ML 350 4Matic 2013 Burgundy,"_ 28,000,000",Foreign Used,"Mecedez Benz ML350 4matic , full option keyless with panoramic roof, accident free car with factory..."
Toyota Corolla 2014 Black,"_ 11,340,000",Local Used,
Toyota Sienna CE 2002 Gold,"_ 2,700,000",Local Used,Good sienna letters everything working well
Hyundai Santa Fe 2009 Green,"_ 5,700,000",Local Used,"2009 Hyundai santafe 
Registered  
Sangotedo Ajah
 Gdnws"
Toyota Highlander XLE 2019 White,"_ 39,000,000",Foreign Used,"Just arrived xle pure accident free everything working perfectly come for inspection, 2019 Toyota..."
Toyota Camry 2012 Gray,"_ 13,000,000",Foreign Used,"Toyota Camry 2012 LE Gray,
Accident Free,
AC working perfectly well,
Clean Interior, 
No Dent,..."
Hyundai Elantra 2016 Blue,"_ 10,500,000",Loan,
Lexus RX 350 AWD 2015 Gold,"_ 31,000,000",Foreign Used,Foreign Accident Lexus RX359 2014 Red color with black interior.full option with factory navigation...
Lexus GS 300 Automatic 2006 Black,"_ 10,300,000",Foreign Used,"Lexus GS 300,
Tokunbo 
Engine Gear and Ac are working well, Buy and drive"
Honda Civic 2014 Blue,"_ 13,500,000",Foreign Used,The DIRECT BELGIUM Honda civic 2014 model in the best possible condition and current original duty...
Toyota Corolla 2016 Black,"_ 16,500,000",Foreign Used,"A very clean, newly arrived 2016 corolla is available for sale, all the gadget are perfectly working"
Hyundai Sonata 2015 Blue,"_ 12,300,000",Foreign Used,"Nothing to fix
very sweet toks"
Lexus RX 350  F Sport AWD 2019 White,"_ 56,000,000",Foreign Used,"2019 LEXUS RX350 F-Sports 
Foreign Used || 2024 entry
Accident free  || Fullest features with double..."
Toyota Camry 2008 Silver,"_ 9,500,000",Foreign Used,"Toyota Camry sport edition 2010 model with factory fitted AC working perfectly, custom duty fully..."
Lexus RX 350 2010 Black,"_ 22,500,000",Foreign Used,"Foreign 2010 Lexus RX350 V6 : Engine, Gear & AC are in excellent working condition!! Leather..."
Toyota Camry 2008 Blue,"_ 4,200,000",Local Used,Neat Es 350 for sale
Mazda 323 1.6 2002 Red,"_ 4,600,000",Foreign Used,"MAZDA 323F Belgium grade buy and drive, Rum."
Toyota Highlander Limited 3.5l 4WD 2013 Blue,"_ 18,500,000",Foreign Used,Toyotá hylander 2013 model accident free low mileage clean title dvd reverse camera with navigstion...
Toyota Camry 2008 White,"_ 6,200,000",Local Used,This car very clean and perfectly working .it was bought toks and used for some months but it was...
Mercedes-Benz M Class ML350 AWD 4MATIC 2009 Brown,"_ 6,000,000",Foreign Used,Mercedes ben ML 350 brown Colour Leather Seat Fm radio cd player automatic drive Full Option alloy...
Mercedes-Benz M Class 2014 White,"_ 27,000,000",Foreign Used,2014 white in black interior Ml 350 keyless entry foreign used car with fully duty paid tin can...
Toyota Camry 2012 Silver,"_ 14,500,000",Foreign Used,"Best of it’s kind,super fresh and neat
Belgium Belgium 2012 Toyota Camry 
Perfect engine and..."
Hyundai Sonata SE 2016 Gray,"_ 14,500,000",Foreign Used,"Foreign used 2016 hyundai sonata with march 2024 original custom duty, full option with thumb start,..."
Lexus RX 350 2009 Blue,"_ 13,500,000",Foreign Used,"Lexus Rx350 2009 model skyblue full options, factory navigation system, reverse camera, mouse,..."
Toyota Camry 2010 Red,"_ 8,500,000",Foreign Used,Direct belgium toyota camry se v6 2010 with original duty going for 8.5m available in excellent...
Toyota Highlander XLE 4x2 V6 (3.5L 6cyl 8A) 2018 White,"_ 36,500,000",Foreign Used,"Fresh off the sea Toyota highlander 
2018 model 
Fullest option"
Honda Accord 2007 Gray,"_ 3,000,000",Local Used,"Clean Nigerian Used Honda Accord 2007 For Sale. 
Sound 4plug engine
Clean and working fine.
Call or..."
